2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
-2.003,-1.115,1.605,-0.553,0.936,-0.781,2.611,12.066,1.114,1.774,-2.447,-0.494,0.552,-2.367,0.548,-5.442,-6.99,-1.006,-13.234,3.991,-0.545,1.549,6.892
-2.274,-1.331,0.445,-1.114,0.831,-1.609,2.052,11.764,1.165,1.56,-2.825,-1.164,0.166,-3.046,0.597,-5.721,-8.04,-1.778,-13.885,3.383,-0.503,1.443,6.709
-3.388,-1.331,0.389,-2.163,0.554,-2.384,1.442,12.365,1.217,1.331,-2.999,-1.228,-0.336,-3.22,0.769,-6.61,-8.099,-2.718,-14.107,2.335,-1.552,1.331,6.216
-4.168,-1.499,0.557,-2.223,0.718,-2.608,0.836,12.141,0.999,0.724,-3.72,-2.057,-1.288,-3.551,1.821,-7.172,-8.324,-2.995,-14.283,2.5,-2.164,0.776,5.997
-4.498,-1.171,0.169,-2.11,0.055,-2.558,1.328,11.843,1.169,0.338,-4.22,-2.286,-2.177,-4.107,2.268,-8.005,-8.547,-2.943,-14.614,2.492,-2.882,0.443,5.665
-4.997,-0.283,0.276,-2.334,-0.057,-2.727,1.169,11.589,1.387,-0.276,-4.777,-3.555,-3.338,-3.836,2.595,-8.836,-9.106,-2.722,-14.567,1.665,-3.383,-0.332,5.386
-4.569,-0.777,0.223,-2.395,0.224,-3.062,0.503,11.032,1.172,-0.556,-4.942,-3.777,-3.498,-3.665,2.921,-9.395,-9.326,-2.776,-15.001,1.885,-4.265,-0.386,4.948
-5.23,-1.273,0.719,-2.509,-0.161,-3.336,0.437,11.235,1.392,-1.278,-5.274,-4.502,-3.556,-3.396,4.065,-10.328,-8.501,-2.666,-14.957,1.995,-4.375,-0.224,4.661
-5.5,-1.055,0.617,-2.609,-0.448,-3.828,-0.278,11.838,1.775,-2.335,-5.11,-5.22,-3.608,-3.501,4.512,-10.665,-8.664,-2.889,-15.178,1.72,-4.986,-0.942,4.492
-5.39,-1.056,0.449,-2.273,-1.059,-3.836,-0.225,12.391,1.285,-2.958,-5.275,-5.607,-3.883,-3.938,5.368,-10.606,-8.726,-2.668,-15.338,1.494,-4.769,-0.839,3.72
-4.669,-1.277,-0.33,-2.661,-1.612,-3.782,-0.828,12.762,1.338,-3.613,-5.829,-5.723,-3.445,-4.105,5.932,-10.666,-9.003,-3.553,-16.085,1.274,-3.993,-1.332,3.278
-4.947,-1.5,-0.555,-3.053,-2.052,-3.89,-0.997,12.741,0.724,-3.556,-6.218,-6.117,-3.432,-3.998,6.848,-10.452,-8.776,-3.723,-16.233,0.834,-3.447,-1.057,2.951
-5.664,-1.559,-0.172,-3.447,-3.325,-3.617,-1.382,12.692,0.391,-3.998,-6.108,-6.062,-2.72,-3.888,6.758,-11.279,-8.623,-4.109,-16.545,0.499,-3.776,-1.331,2.277
-5.059,-2.394,-0.115,-4.164,-3.936,-3.839,-1.483,12.553,-0.108,-4.386,-6.662,-7.387,-2.392,-3.938,7.096,-11.113,-9.326,-4.055,-16.658,-0.109,-3.951,-1.546,1.057
-4.3,-2.946,0.106,-6.166,-3.765,-3.142,-1.331,11.612,-0.34,-5.335,-6.772,-7.335,-2.507,-3.548,7.988,-11.031,-8.286,-4.676,-16.45,0.609,-3.835,-1.277,1.057
